order,name,address,hours,closed_days,parking,dog_area,dog_menu,rules,intro,memo,official_site_url,instagram_url,extra_memo,google_maps_url,other_source_urls,tabelog_url,is_visited,is_hidden,published_slug
11,メディバル × タニタカフェ 東府中,東京都府中市緑町3-5-2,11:00〜15:00 / 17:00〜22:00,火曜日,なし（近隣コインパーキング利用）,テラス席のみ,なし,カート入店: OK,東府中のタニタカフェ系イタリアンで、ヘルシー志向の食事を楽しめます。テラス席は屋根とヒーターがあり、比較的快適です。,注文はモバイルオーダー。ワンコは床下またはカート内のみ可で、椅子の上や膝の上は不可です。,,https://www.instagram.com/tanitacafe.official/,"テラス席ワンコ🆗です。屋根ありヒーターあり。
モバイルオーダー。
ワンコ同伴はルールがいろいろ決められてるので要確認。
床下かカートのみ🆗、イス上と飼い主膝上は🆖。",https://www.google.com/maps/place/%E3%83%A1%E3%83%87%E3%82%A3%E3%83%90%E3%83%AB+%C3%97+%E3%82%BF%E3%83%8B%E3%82%BF%E3%82%AB%E3%83%95%E3%82%A7+%E6%9D%B1%E5%BA%9C%E4%B8%AD/data=!4m2!3m1!1s0x6018e50052c5fb33:0x4cff8fc2c4999289,https://www.hotpepper.jp/strJ003944006/|https://retty.me/area/PRE13/ARE25/SUB2501/100001764776/,https://tabelog.com/tokyo/A1326/A132602/13303697/,true,false,fuchu-04
12,Café Brico（カフェブリコ）,東京都府中市晴見町1-27-1 常松ビル1F,カフェ9:00〜18:00 平日ディナー18:00〜21:00,不定休(公式アクセス),未掲載,テラス席,なし,同伴エリアはリビングむさしの等。Instagramはオープン報道での言及,晴見町にあるカフェで、屋根付きのインナーテラス席が同伴向きです。天候を気にしすぎず使いやすい一軒です。,インナーテラスには屋根とヒーターあり。同伴条件の細部は店舗案内で確認推奨で、営業は不定休です。,https://cafebrico-fuchu.com/,https://www.instagram.com/cafebrico.fuchu.25/,"インナーテラス席がワンコ🆗です。
屋根付き、ヒーターあり。",https://www.google.com/maps/place/Caf%C3%A9+Brico/data=!4m2!3m1!1s0x6018e5f2c9fb867d:0xabe7e23dc06057df,https://mrs.living.jp/musashino/tamamusa_wanko/article/6195243|https://tokyofuchu.goguynet.jp/2025/03/21/shopopen-cafebrico/,https://tabelog.com/tokyo/A1326/A132602/13308224/,true,false,fuchu-26
13,an official（アン オフィシャル）,東京都府中市本町2-20-42 1F,10:00〜19:00,水曜・第3火曜(公式。イベント・祝日で変更あり),なし近隣コインPあり(公式),外席・ベンチ席,なし,公式に犬同伴の明記なし,本町の洋菓子店兼カフェで、焼き菓子や生菓子を選びながら気軽に立ち寄れます。外席なら愛犬と一緒に利用できます。,購入した洋菓子のイートインやドリンク利用が可能。公式に犬同伴の明記はないため、外席利用時は現地確認が安心です。,https://www.anofficial.jp/,https://www.instagram.com/anofficial2020/,外席ワンコ🆗、購入した生洋菓子・焼き菓子等のイートインやドリンクメニューあり,https://www.google.com/maps/place/%E3%82%A2%E3%83%B3%E3%82%AA%E3%83%95%E3%82%A3%E3%82%B7%E3%83%A3%E3%83%AB/data=!4m2!3m1!1s0x6018e529e358007d:0xbf2e7e27a64f9b46,https://www.anofficial.jp/access|https://fuchu-sanpo.toho-house.co.jp/gourmet/cake/fuchu-anofficial-w763-20250714/,https://tabelog.com/tokyo/A1326/A132602/13295874/,true,false,fuchu-27
14,農食（NOUSHOKU）レストラン＆ショップ,東京都府中市幸町3-5-8 東京農工大学府中キャンパス内 西東京国際イノベーション共創拠点1F,11:00〜20:00,施設営業日に準ずる,施設案内に準ずる,テラス席,なし,,東京農工大学府中キャンパス内にあるレストラン＆ショップです。キャンパス散策や施設利用と合わせて立ち寄りやすい立地です。,同伴はテラス席のみ。休日や駐車場は施設案内に準ずるため、大学側の案内と合わせて確認するのがおすすめです。,https://tuat-hub.com,,テラス席ワンコ🆗です,https://www.google.com/maps/place/%E8%BE%B2%E9%A3%9F%EF%BC%88NOUSHOKU%EF%BC%89%E3%83%AC%E3%82%B9%E3%83%88%E3%83%A9%E3%83%B3%EF%BC%86%E3%82%B7%E3%83%A7%E3%83%83%E3%83%97/data=!4m2!3m1!1s0x6018e50076ec9a31:0x89e30ae239e2712f,https://foods-ch.infomart.co.jp/news/157920|https://anlg.jp/aurum/(運営ANALOG),https://tabelog.com/tokyo/A1326/A132602/13308862/,true,false,fuchu-28
15,café そらいろ,東京都府中市住吉町4-9-36,11:00〜16:00(LO15:30),水・日・祝,未掲載,テラス席,なし,,住吉町の小さなカフェで、屋根付きテラスなら愛犬と一緒に過ごせます。落ち着いて休憩したい日に向く一軒です。,テラス席は屋根があり、日除けと雨除けを確保しやすいのが特徴。水・日・祝休みで、駐車場は未掲載です。,https://sorairo-cafe.com/,,テラス席ワンコ🆗です。屋根ありで日除け雨除けあり,https://www.google.com/maps/place/Caf%C3%A9+%E3%81%9D%E3%82%89%E3%81%84%E3%82%8D/data=!4m2!3m1!1s0x6018e5dc32dead0d:0x8139d07aa15738b5,,https://tabelog.com/tokyo/A1326/A132602/13247065/,true,false,fuchu-29
16,Ｄ‐ｋｉｔｃｈｅｎ＆鍼灸BODYCARE(表記未特定),東京都府中市四谷3-47-4 大結技建2F(ユーザー提示),木曜 11:30〜昼営業,月・火・水・金・土・日,なし（近隣コインパーキング利用）,テラス席,なし,,四谷の建物2階で営業する店舗で、食事とケアを組み合わせた珍しい業態です。愛犬同伴はテラス席のみで、営業日は木曜昼に限られます。,正式表記はデータ上未特定。木曜昼のみ営業で、他曜日は休みのため訪問前に最新営業情報の確認をおすすめします。,,,"テラス席ワンコ🆗です。
木曜日の昼のみ営業中。",https://www.google.com/maps/place/%EF%BC%A4%E2%80%90%EF%BD%8B%EF%BD%89%EF%BD%94%EF%BD%83%EF%BD%88%EF%BD%85%EF%BD%8E%EF%BC%86%E9%8D%BC%E7%81%B8BODYCARE/data=!4m2!3m1!1s0x6018e37edb866fb1:0xfe946fee6ec1a25d,,,true,true,fuchu-30
17,CAFE de CRIE ケヤキゲート府中店,東京都府中市府中町1-1-1 ホテルケヤキゲート東京府中1F,平日 7:00〜20:00 / 土日祝 8:00〜20:00,無休,あり（施設駐車場）,テラス席のみ,なし,,ケヤキゲート府中1階のカフェドクリエで、屋根付きテラスを愛犬と利用できます。府中駅近くで使い勝手のよいカフェです。,商業施設内のため、テラスにはしっかり屋根があります。日除け・雨除けの安心感があり、買い物ついでの休憩に向きます。,https://c-united.co.jp/store/detail/001588/,https://www.instagram.com/cafedecrie/,テラス席ワンコ🆗、商業施設内のため屋根があり、日除け雨除けは問題なし。,https://www.google.com/maps/place/%E3%82%AB%E3%83%95%E3%82%A7%E3%83%BB%E3%83%89%E3%83%BB%E3%82%AF%E3%83%AA%E3%82%A8+%E3%82%B1%E3%83%A4%E3%82%AD%E3%82%B2%E3%83%BC%E3%83%88%E5%BA%9C%E4%B8%AD%E5%BA%97/data=!4m2!3m1!1s0x6018e5a2103dde41:0x93d259f82109446d,,https://tabelog.com/tokyo/A1326/A132602/13262609/,true,false,fuchu-17
18,Caffe＆Bar Aeroporto（アエロポルト）,東京都府中市紅葉丘3-41-20 松村荘1F,月・水〜日・祝11:00〜23:00,火曜・第1水曜(ホットペッパー)※Rettyは毎週火のみで差異,なし(ホットペッパー),店内OK,なし,脱毛の少ない犬種かつ店内で静かにできること等(ユーザーメモ) / 抜け毛の少ない犬種など店舗条件あり,紅葉丘のカフェ＆バーで、店内に愛犬同伴できる一軒です。落ち着いて過ごせることが条件になる、配慮型の運用が特徴です。,店主のアレルギー事情から、抜け毛が少ない犬種かつ店内で静かに過ごせることが条件というメモがあります。休業情報は媒体差があるため事前確認推奨です。,,,店内ワンコ🆗、店主が動物アレルギーになってしまったため、毛が抜けない犬種＆店内でおとなしく出来るのが条件。,https://www.google.com/maps/place/Caffe%26Bar+Aeroporto/data=!4m2!3m1!1s0x6018e5681e71b833:0xac400b39826aa115,https://www.hotpepper.jp/strJ003497847/|https://www.facebook.com/CaffeBar-Aeroporto-アエロポルト-826281490742528/,https://tabelog.com/tokyo/A1326/A132602/13186825/,true,false,fuchu-31
19,COCOROTUS 府中乃森珈琲店,東京都府中市浅間町1-3-1 都立府中の森公園内,10:00〜17:00,月曜日（祝日の場合は翌日）,あり（公園有料駐車場）,テラス席のみ,なし,,府中の森公園の中にあるカフェで、散歩途中の休憩にぴったりです。緑を感じるテラス席で愛犬と一緒に過ごせます。,同伴はテラス席のみ。日除けはパラソルのみで、雨除けや風除けはないため、晴れた日の利用向きです。,https://www.cocorotus.com/,https://www.instagram.com/cocorotus/,都立府中の森公園内のカフェ。テラス席ワンコ🆗、日除けパラソルあり。雨除け・風除けなし。,https://www.google.com/maps/place/COCOROTUS+%E5%BA%9C%E4%B8%AD%E4%B9%83%E6%A3%AE%E7%8F%88%E7%90%B2%E5%BA%97/data=!4m2!3m1!1s0x6018e5de127dfd55:0xad51edf82344da99,,https://tabelog.com/tokyo/A1326/A132602/13255050/,true,false,fuchu-05
20,モナムール清風堂本店,東京都府中市宮町2-1-1,フランス菓子・カフェ10:00〜22:00年中無休(公式トップ),なし(カフェ),大國魂神社駐車場(タイムズ)会計に応じ無料サービス券(公式),テラス席,なし,公式に犬条件の明記なし,宮町の老舗洋菓子店で、1階カフェフロアのテラス席を愛犬と利用できます。スイーツ目当ての寄り道にも向く一軒です。,1階カフェフロアのテラスが同伴エリア。2階レストランのメニュー提供は相談できる模様とのメモがあり、利用時は店舗確認が安心です。,http://www.monamour.jp/,,"1Fカフェフロアにテラス席ありワンコ🆗。
2Fのレストランメニュー提供も相談出来る模様。",https://www.google.com/maps/place/%E3%83%A2%E3%83%8A%E3%83%A0%E3%83%BC%E3%83%AB%E6%B8%85%E9%A2%A8%E5%A0%82+%E6%9C%AC%E5%BA%97/data=!4m2!3m1!1s0x6018e4e4e2d60287:0x6cf376bec430ca82,,https://tabelog.com/tokyo/A1326/A132602/13034557/,true,false,fuchu-32
21,Bake shop PoTa（ベイクショップポタ）,東京都府中市武蔵台3-49-4,火〜日 10:00〜18:00,月曜日,なし（近隣コインパーキング利用）,外席・ベンチ席,なし,,武蔵台のベイクショップで、焼き菓子のテイクアウトついでに外席で休憩しやすい店です。ベンチとテーブルのある外席で愛犬同伴できます。,イートインよりテイクアウト中心の使い方が向いているメモあり。月曜休みで、駐車場は近隣コインパーキング利用です。,https://bakeshoppota.com/,https://www.instagram.com/bakeshoppota/,"外席にベンチとテーブルありでワンコ🆗。
テイクアウトメニューのみで、スイーツ系はテイクアウトのみでイートインは無理そう。",https://www.google.com/maps/place/bake+shop+pota/data=!4m2!3m1!1s0x6018e50011a0dae7:0x18398d83bfc4d854,https://r.gnavi.co.jp/cuwrn26x0000/|https://hitosara.com/0031673813/,https://tabelog.com/tokyo/A1326/A132602/13284567/,true,false,fuchu-33
22,ことみ食堂,東京都府中市是政6-32-10 郷土の森観光物産館内,10:00〜16:00,月曜日,あり（無料）,テラス席（共用スペース）,なし,,郷土の森観光物産館に併設された食堂で、観光や散策の途中に立ち寄りやすい立地です。共用テラス席で愛犬と過ごせます。,テラスは施設共用スペースのため、持ち込みや自販機、休日キッチンカーの飲食にも使えるとの記録があります。無料駐車場あり。,https://kotomicommunity080.wixsite.com/comunitywork/kotomi,https://www.instagram.com/cw.kotomi.shokudo/,府中市の観光物産館に併設、施設の共用休憩場所としてテラス席がありワンコも🆗。テラス席は共用なので、持ち込み、施設自販機の利用、休日に数台来るキッチンカー商品の飲食も可能,https://www.google.com/maps/place/%E3%81%93%E3%81%A8%E3%81%BF%E9%A3%9F%E5%A0%82/data=!4m2!3m1!1s0x6018e4c385a628f1:0xe63895d1b8f11748,https://www.kankou-fuchu.com/?p=we-page-entrylist&spotlist=27321&nav=none,https://tabelog.com/tokyo/A1326/A132602/13266695/,true,false,fuchu-06
23,KITCHEN ＆ CAFE-BAR SHINKER,東京都府中市緑町1-17-18 シャトーアルフィー1F,営業時間は当日案内に準ずる,不定休,なし（近隣コインパーキング利用）,テラス席,なし,,緑町のキッチン＆カフェバーで、テラス席なら愛犬同伴可です。建物の北側に面していて、季節で体感が変わりやすい席です。,夏は日が当たりにくく比較的涼しめですが、冬は冷え込みやすいとのメモあり。簡易の雨除けのみで、風除けはありません。,,,"テラス席ワンコ🆗
マンション北側に面しており陽が全く入らないため、夏は涼しく冬は寒い。簡易の雨除けのみ、風除けなし",https://www.google.com/maps/place/KITCHEN%26CAFE-BAR+%E3%80%8CSHINKER%E3%80%8D(%E3%82%AD%E3%83%83%E3%83%81%E3%83%B3%E3%83%BB%E3%82%AB%E3%83%95%E3%82%A7%E3%83%90%E3%83%BC%E3%80%8C%E3%82%B7%E3%83%B3%E3%82%AB%E3%83%BC%E3%80%8D)/data=!4m2!3m1!1s0x6018e52fbc1a9291:0x804f55c740cce848,https://r.gnavi.co.jp/by13f19y0000/,https://tabelog.com/tokyo/A1326/A132602/13278117/,true,false,fuchu-34
24,coffee and bake douceur,東京都府中市美好町3-12-58 K151Aビル1F,月・水〜日 12:00〜19:00,火曜日,なし（近隣コインパーキング利用）,店内OK,なし,,美好町の人気コーヒー店で、店内同伴できるのが魅力です。焼き菓子とコーヒーをゆっくり楽しみたい日に向きます。,人気店のため入店待ちが長くなることがあり、予約不可。混雑時は店外待ちもあるため、ワンコ連れでは時間と季節に余裕を持つのがおすすめです。,https://douceur.shop/,https://www.instagram.com/coffeeandbakedouceur/,店内ワンコ🆗、人気店で入店待ちで長時間並ぶ場合あり。予約不可。時間に余裕のあるときの利用を推奨。混雑すると店外待ちもあるので夏場にワンコ連れていくのは注意。,https://www.google.com/maps/place/coffee+and+bake+douceur/data=!4m2!3m1!1s0x6018e48b5cdf5b39:0xe640961cb734faf7,https://r.gnavi.co.jp/pc50ugur0000/|https://www.gurutto-tokyo.com/gourmet/coffeeandbakedouceur/|https://www.life.one-me.jp/shop/1203,https://tabelog.com/tokyo/A1326/A132602/13283281/,true,false,fuchu-35
25,BASE S CAFE & DINER FUCHU TERRACE (府中テラス),東京都府中市宮西町2-2-12,11:00〜22:00,無休,なし（近隣コインパーキング利用）,テラス席のみ,なし,,大國魂神社前のけやき並木沿いにあるカフェ＆ダイナーです。開放感のあるテラスで愛犬と一緒に過ごせます。,同伴はテラス席のみ。日除けと風除けがあり、小雨程度なら過ごしやすいとの記録があります。冷暖房器具の有無はデータ上不明です。,https://fuchuterrace.com/,https://www.instagram.com/base.s_fuchuterrace/,テラス席ワンコ🆗、日除け・風除けあり、日除けがあるので多少の雨なら影響なし。冷房器具および暖房器具の有無は不明。,https://www.google.com/maps/place/%E5%BA%9C%E4%B8%AD%E3%83%86%E3%83%A9%E3%82%B9/data=!4m2!3m1!1s0x6018e59679eac52b:0xd7f84cfb667da5aa,,https://tabelog.com/tokyo/A1326/A132602/13253755/,true,false,fuchu-07
26,だがや,東京都府中市本町2-19-5 オルジュ本町2 1F,月〜金 17:00〜24:00 / 土日祝 12:00〜24:00,無休,なし（近隣コインパーキング利用）,外席・ベンチ席,なし,暖かい季節限定の席利用あり,本町の居酒屋で、暖かい季節には外席が出て愛犬と立ち寄れることがあります。季節限定の楽しみ方がある一軒です。,外席は暖季限定。日除け・雨除け・風除けはいずれもないため、席が出ている日でも天候次第で快適さが変わります。,,,"暖季に外席を出すときがありワンコ🆗です。
日除け・雨除け・風除けいずれもなし。",https://www.google.com/maps/place/%E3%81%A0%E3%81%8C%E3%82%84/data=!4m2!3m1!1s0x6018e4ef69be353f:0x8efbc2466dfc3b53,https://hitosara.com/0031117449/,https://tabelog.com/tokyo/A1326/A132602/13109036/,true,false,fuchu-36
27,KIZUNA DINING & WANTOK CAFE 府中くるる店,東京都府中市宮町1-50 くるる 1F,11:00〜22:00,施設に準ずる（不定休）,あり（施設駐車場）,外席のみ,なし,,府中駅直結のくるる1階にあるダイニングカフェです。買い物の合間に外席で愛犬とひと休みできます。,同伴は外席のみ。施設駐車場があり、休みは商業施設に準ずるため、館の営業日と合わせて見ると使いやすいです。,,https://instagram.com/kizunadining?igshid=NzZlODBkYWE4Ng%3D%3D&utm_source=qr,外席ワンコ🆗です,https://www.google.com/maps/place/KIZUNADINING%26WANTOK+CAFE+%E5%BA%9C%E4%B8%AD%E3%81%8F%E3%82%8B%E3%82%8B%E5%BA%97/data=!4m2!3m1!1s0x6018e500168ae347:0xabd17cc109578a14,https://www.kururu.co.jp/shop/1f-13/,https://tabelog.com/tokyo/A1326/A132602/13294813/,true,false,fuchu-08
28,CAFE WHANAU（CAFE WHĀNAU）,東京都府中市美好町1-18-3 1F,7:00〜17:00,月曜日・第2第4火曜日,なし（近隣コインパーキング利用）,テラス席,なし,,美好町のカフェで、朝早めから営業しているのが特徴です。テラス席で愛犬と一緒にコーヒー時間を楽しめます。,月曜と第2・第4火曜が休み。テラス設備の詳細は少ないため、天候が不安な日は事前確認が無難です。,,https://www.instagram.com/cafe_whanau/,テラス席ワンコ🆗です,https://www.google.com/maps/place/CAFE+WHANAU/data=!4m2!3m1!1s0x6018e5c99be1a319:0xb389d78cfc17b9af,https://mikke-fuchu.com/whanau/,https://tabelog.com/tokyo/A1326/A132602/13293902/,true,false,fuchu-37
29,珈琲鳴館 府中宮町店,東京都府中市宮町2-17-9,10:00〜19:00,月曜日,なし（近隣コインパーキング利用）,テラス席のみ（暖かい季節限定）,なし,,宮町の珈琲専門店で、暖かい季節だけテラス席が出ます。季節限定で愛犬と一緒に本格コーヒーを楽しめます。,テラス席は暖季限定で、雨除け・日除けはなし。晴れていて過ごしやすい日に向いています。,https://meikan.jp/,,暖かい季節のみテラス席ありワンコ🆗、雨除け日除けなし。,https://www.google.com/maps/place/%E7%8F%88%E7%90%B2%E9%B3%B4%E9%A4%A8+%E5%BA%9C%E4%B8%AD%E5%AE%AE%E7%94%BA%E5%BA%97/data=!4m2!3m1!1s0x6018e4e48693e5fb:0x385467498597b762,https://r.gnavi.co.jp/ht5pvaxa0000/,https://tabelog.com/tokyo/A1326/A132602/13143527/,true,false,fuchu-09
