csv_row,title,address,google_maps_url,csv_memo,published_slug,published_name,published_match_score,published_address,published_intro,published_hours,published_closed_days,published_parking,published_dog_area,published_dog_menu,published_rules,published_memo,researched_name,researched_address,researched_hours,researched_closed_days,researched_parking,researched_dog_area,researched_dog_menu,researched_rules,researched_intro,researched_memo,official_site_url,instagram_url,other_source_urls,source_notes,comparison_notes,status
12,メディバル × タニタカフェ 東府中,〒183-0005 東京都府中市若松町１丁目５−１８ パークエレメント府中,https://www.google.com/maps/place/%E3%83%A1%E3%83%87%E3%82%A3%E3%83%90%E3%83%AB+%C3%97+%E3%82%BF%E3%83%8B%E3%82%BF%E3%82%AB%E3%83%95%E3%82%A7+%E6%9D%B1%E5%BA%9C%E4%B8%AD/data=!4m2!3m1!1s0x6018e50052c5fb33:0x4cff8fc2c4999289,"テラス席ワンコ🆗です。屋根ありヒーターあり。
モバイルオーダー。
ワンコ同伴はルールがいろいろ決められてるので要確認。
床下かカートのみ🆗、イス上と飼い主膝上は🆖。",fuchu-04,メディバル × タニタカフェ 東府中,1.000,東京都府中市緑町3-5-2,"ヘルシーなメニューが充実しているイタリアン・カフェ。
季節を問わず快適にお食事を楽しめます。",11:00〜15:00 / 17:00〜22:00,火曜日,なし（近隣コインパーキング利用）,テラス席のみ,なし,カート入店: OK,"テラス席は屋根・ヒーターあり。注文はモバイルオーダー。
ワンコは「床下」か「カート」のみOK。イスの上や飼い主の膝の上はNGです。",メディバル×タニタカフェ,東京都府中市若松町1-5-18 パークエレメント府中,月〜土9:00〜21:00(LO20:30) 日11:00〜16:00(LO15:00),なし,あり約2台(ホットペッパー店舗情報2025/10),テラス席のみ同伴可(ホットペッパー),なし,テラスのみ同伴。床下またはペットカート内など細則は公式未掲載のため来店前確認推奨,"ヘルシーなメニューが充実しているイタリアン・カフェ。
季節を問わず快適にお食事を楽しめます。","テラス席は屋根・ヒーターあり。注文はモバイルオーダー。
ワンコは「床下」か「カート」のみOK。イスの上や飼い主の膝の上はNGです。",https://www.tanita.co.jp/tanitacafe/shop/detail/346/,https://www.instagram.com/medibartanitacafe_higashifuchu/,https://www.hotpepper.jp/strJ003944006/|https://retty.me/area/PRE13/ARE25/SUB2501/100001764776/,営業時間はタニタ公式。InstagramはRetty経由表記のため公式確認推奨,,researched
13,Café Brico,〒183-0057 東京都府中市晴見町１丁目２７番１ 常松ビル １階,https://www.google.com/maps/place/Caf%C3%A9+Brico/data=!4m2!3m1!1s0x6018e5f2c9fb867d:0xabe7e23dc06057df,"インナーテラス席がワンコ🆗です。
屋根付き、ヒーターあり。",,,,,,,,,,,,,Café Brico（カフェブリコ）,東京都府中市晴見町1-27-1 常松ビル1F,カフェ9:00〜18:00 平日ディナー18:00〜21:00,不定休(公式アクセス),未掲載,インナーテラス席のみ可とする紹介記事あり,なし,公式ページに同伴条件なし。同伴可否・席種は第三者Web記事ベース,,,https://cafebrico-fuchu.com/,https://www.instagram.com/cafebrico.fuchu.25/,https://mrs.living.jp/musashino/tamamusa_wanko/article/6195243|https://tokyofuchu.goguynet.jp/2025/03/21/shopopen-cafebrico/,同伴エリアはリビングむさしの等。Instagramはオープン報道での言及,,researched
14,アンオフィシャル,〒183-0027 東京都府中市本町２丁目２０−４２,https://www.google.com/maps/place/%E3%82%A2%E3%83%B3%E3%82%AA%E3%83%95%E3%82%A3%E3%82%B7%E3%83%A3%E3%83%AB/data=!4m2!3m1!1s0x6018e529e358007d:0xbf2e7e27a64f9b46,外席ワンコ🆗、購入した生洋菓子・焼き菓子等のイートインやドリンクメニューあり,,,,,,,,,,,,,an official（アン オフィシャル）,東京都府中市本町2-20-42 1F,10:00〜19:00,水曜・第3火曜(公式。イベント・祝日で変更あり),なし近隣コインPあり(公式),外席可のユーザー情報。店内イートインあり(公式・紹介記事),なし,公式に犬同伴の明記なし,,,https://www.anofficial.jp/,https://www.instagram.com/anofficial2020/,https://www.anofficial.jp/access|https://fuchu-sanpo.toho-house.co.jp/gourmet/cake/fuchu-anofficial-w763-20250714/,定休は公式を採用(府中さんぽ記事は旧情報の可能性),,researched
15,農食（NOUSHOKU）レストラン＆ショップ,〒183-0057 東京都府中市晴見町３丁目６,https://www.google.com/maps/place/%E8%BE%B2%E9%A3%9F%EF%BC%88NOUSHOKU%EF%BC%89%E3%83%AC%E3%82%B9%E3%83%88%E3%83%A9%E3%83%B3%EF%BC%86%E3%82%B7%E3%83%A7%E3%83%83%E3%83%97/data=!4m2!3m1!1s0x6018e50076ec9a31:0x89e30ae239e2712f,テラス席ワンコ🆗です,,,,,,,,,,,,,農食（NOUSHOKU）レストラン＆ショップ,東京都府中市幸町3-5-8 東京農工大学府中キャンパス内 西東京国際イノベーション共創拠点1F(プレス)／ユーザー提示〒183-0057晴見町3-6は不一致,11:00〜20:00予定(2025年プレスリリース),要確認,キャンパス施設に準ずる想定(要確認),テラス可はユーザーメモのみ,なし,未確認,,,,,https://foods-ch.infomart.co.jp/news/157920|https://anlg.jp/aurum/(運営ANALOG),一号店住所はANALOGプレス。晴見町住所との同一性は未検証。店舗単体公式URL未確認,,researched
16,Café そらいろ,〒183-0034 東京都府中市住吉町４丁目９−３６,https://www.google.com/maps/place/Caf%C3%A9+%E3%81%9D%E3%82%89%E3%81%84%E3%82%8D/data=!4m2!3m1!1s0x6018e5dc32dead0d:0x8139d07aa15738b5,テラス席ワンコ🆗です。屋根ありで日除け雨除けあり,,,,,,,,,,,,,café そらいろ,東京都府中市住吉町4-9-36,11:00〜16:00(LO15:30),水・日・祝,未掲載,テラス可はユーザーメモ。公式にペット記載なし,なし,要店舗確認,,,https://ch-friends.or.jp/cafe-sorairo,,,https://maps.app.goo.gl/HWXUNZQbLY93wcDS7,,researched
17,Ｄ‐ｋｉｔｃｈｅｎ＆鍼灸BODYCARE,〒183-0035 東京都府中市四谷３丁目４７−４ 大結技建 2階,https://www.google.com/maps/place/%EF%BC%A4%E2%80%90%EF%BD%8B%EF%BD%89%EF%BD%94%EF%BD%83%EF%BD%88%EF%BD%85%EF%BD%8E%EF%BC%86%E9%8D%BC%E7%81%B8BODYCARE/data=!4m2!3m1!1s0x6018e37edb866fb1:0xfe946fee6ec1a25d,"テラス席ワンコ🆗です。
木曜日の昼のみ営業中。",,,,,,,,,,,,,Ｄ‐ｋｉｔｃｈｅｎ＆鍼灸BODYCARE(表記未特定),東京都府中市四谷3-47-4 大結技建2F(ユーザー提示),木曜昼のみ(ユーザーメモ),上記以外は要確認,未確認,テラス可はユーザーメモ,なし,未確認,,,,,,店名・住所一致する公式・主要掲載をWebで特定できず,,researched
19,Caffe&Bar Aeroporto,〒183-0004 東京都府中市紅葉丘３丁目４１−２０,https://www.google.com/maps/place/Caffe%26Bar+Aeroporto/data=!4m2!3m1!1s0x6018e5681e71b833:0xac400b39826aa115,店内ワンコ🆗、店主が動物アレルギーになってしまったため、毛が抜けない犬種＆店内でおとなしく出来るのが条件。,,,,,,,,,,,,,Caffe＆Bar Aeroporto（アエロポルト）,東京都府中市紅葉丘3-41-20 松村荘1F,月・水〜日・祝11:00〜23:00,火曜・第1水曜(ホットペッパー)※Rettyは毎週火のみで差異,なし(ホットペッパー),ホットペッパーはペット可・備考テラスのみだが席欄はテラスなしで矛盾。ユーザーは店内条件付きOK,なし,脱毛の少ない犬種かつ店内で静かにできること等(ユーザーメモ),,,,,https://www.hotpepper.jp/strJ003497847/|https://www.facebook.com/CaffeBar-Aeroporto-アエロポルト-826281490742528/,公式サイト未確認。同伴エリアは掲載間で不整合のため要電話確認,,researched
20,COCOROTUS 府中乃森珈琲店,〒183-0001 東京都府中市浅間町１丁目３−３ 府中市美術館 内,https://www.google.com/maps/place/COCOROTUS+%E5%BA%9C%E4%B8%AD%E4%B9%83%E6%A3%AE%E7%8F%88%E7%90%B2%E5%BA%97/data=!4m2!3m1!1s0x6018e5de127dfd55:0xad51edf82344da99,都立府中の森公園内のカフェ。テラス席ワンコ🆗、日除けパラソルあり。雨除け・風除けなし。,fuchu-05,COCOROTUS 府中乃森珈琲店,1.000,東京都府中市浅間町1-3-1 都立府中の森公園内,"自然豊かな都立府中の森公園の中にある憩いのカフェ。
お散歩の途中に一休みするのに最高のロケーションです。",10:00〜17:00,月曜日（祝日の場合は翌日）,あり（公園有料駐車場）,テラス席のみ,なし,,テラス席は日除けパラソルあり。雨除け・風除けはないため、お天気の良い日がおすすめです。,府中乃森珈琲店（COCOROTUS運営）,東京都府中市浅間町1-3-3 府中市美術館内,10:00〜17:00(LO16:30) テイクアウトのみ時11:00〜15:30,月(祝は翌日)ほか美術館休館・展示替に準ず,公園・美術館の駐車場利用可,テラス席のみ(紹介記事),なし,ペットシート持参必須(府中さんぽ取材記事),"自然豊かな都立府中の森公園の中にある憩いのカフェ。
お散歩の途中に一休みするのに最高のロケーションです。",テラス席は日除けパラソルあり。雨除け・風除けはないため、お天気の良い日がおすすめです。,https://fuchunomoricoffee.com/,,,https://fuchunomoricoffee.com/info/|https://cocorotus.com/|https://fuchu-sanpo.toho-house.co.jp/gourmet/cafe/fuchu-fuchunomoricoffeeten-w774-20250709/,,researched
21,モナムール清風堂 本店,〒183-0023 東京都府中市宮町２丁目１−１,https://www.google.com/maps/place/%E3%83%A2%E3%83%8A%E3%83%A0%E3%83%BC%E3%83%AB%E6%B8%85%E9%A2%A8%E5%A0%82+%E6%9C%AC%E5%BA%97/data=!4m2!3m1!1s0x6018e4e4e2d60287:0x6cf376bec430ca82,"1Fカフェフロアにテラス席ありワンコ🆗。
2Fのレストランメニュー提供も相談出来る模様。",,,,,,,,,,,,,モナムール清風堂本店,東京都府中市宮町2-1-1,フランス菓子・カフェ10:00〜22:00年中無休(公式トップ),なし(カフェ),大國魂神社駐車場(タイムズ)会計に応じ無料サービス券(公式),1Fカフェテラス席可(ユーザーメモ),なし,公式に犬条件の明記なし,,,https://monamour.jp/,,,https://monamour.jp/caffe.php|https://spot.pethomeweb.com/spotDetail.php?id=126195,,researched
22,bake shop pota,〒183-0042 東京都府中市武蔵台３丁目４９−４,https://www.google.com/maps/place/bake+shop+pota/data=!4m2!3m1!1s0x6018e50011a0dae7:0x18398d83bfc4d854,"外席にベンチとテーブルありでワンコ🆗。
テイクアウトメニューのみで、スイーツ系はテイクアウトのみでイートインは無理そう。",,,,,,,,,,,,,Bake shop PoTa（ベイクショップポタ）,〒183-0042 東京都府中市武蔵台3-49-4,火～日 10:00～18:00（ヒトサラ等。ぐるなびは時間未掲載）,月曜（祝日は営業する場合あり・要確認）,不明,ユーザーメモ:外席ベンチ・テーブルあり。店舗公式にペット可の明記は未確認,なし,不明,,,,https://www.instagram.com/bakeshoppota/,https://r.gnavi.co.jp/cuwrn26x0000/|https://hitosara.com/0031673813/,営業時間・定休はヒトサラ・ブログ系。最新はInstagramまたは電話042-359-4632推奨,,researched
23,ことみ食堂,〒183-0014 東京都府中市是政６丁目32−１０,https://www.google.com/maps/place/%E3%81%93%E3%81%A8%E3%81%BF%E9%A3%9F%E5%A0%82/data=!4m2!3m1!1s0x6018e4c385a628f1:0xe63895d1b8f11748,府中市の観光物産館に併設、施設の共用休憩場所としてテラス席がありワンコも🆗。テラス席は共用なので、持ち込み、施設自販機の利用、休日に数台来るキッチンカー商品の飲食も可能,fuchu-06,ことみ食堂,1.000,東京都府中市是政6-32-10 郷土の森観光物産館内,"府中市の観光物産館に併設された食堂。
地元ならではののんびりした雰囲気を楽しめます。",10:00〜16:00,月曜日,あり（無料）,テラス席（共用スペース）,なし,,テラス席は施設の共用スペースのため、持ち込みや施設自販機の利用、休日に来るキッチンカー商品の飲食も可能です。,ことみ食堂（郷土の森観光物産館併設）,〒183-0014 東京都府中市是政6-32-10（郷土の森博物館正門横・市公式表記）,施設開館 10:00～18:00（季節により変更有・府中市公式）,月曜（祝日のときは翌日）・年末年始・臨時休館あり（府中市公式）,観光物産館駐車場あり（台数限定・公式にEV充電器記載）,ユーザーメモ:共用テラス席あり。ペット可は公式未確認,なし,不明,"府中市の観光物産館に併設された食堂。
地元ならではののんびりした雰囲気を楽しめます。",テラス席は施設の共用スペースのため、持ち込みや施設自販機の利用、休日に来るキッチンカー商品の飲食も可能です。,https://www.city.fuchu.tokyo.jp/kanko/shisetsu/kankoubussankan.html,,https://www.kankou-fuchu.com/?p=we-page-entrylist&spotlist=27321&nav=none,食堂単独の最終注文時刻は市ページに別記なし。042-302-4000（物産館）等で要確認,,researched
24,KITCHEN&CAFE-BAR SHINKER,〒183-0006 東京都府中市緑町１丁目17−１８ シャトーアルフィー 1F,https://www.google.com/maps/place/KITCHEN%26CAFE-BAR+%E3%80%8CSHINKER%E3%80%8D(%E3%82%AD%E3%83%83%E3%83%81%E3%83%B3%E3%83%BB%E3%82%AB%E3%83%95%E3%82%A7%E3%83%90%E3%83%BC%E3%80%8C%E3%82%B7%E3%83%B3%E3%82%AB%E3%83%BC%E3%80%8D)/data=!4m2!3m1!1s0x6018e52fbc1a9291:0x804f55c740cce848,"テラス席ワンコ🆗
マンション北側に面しており陽が全く入らないため、夏は涼しく冬は寒い。簡易の雨除けのみ、風除けなし",,,,,,,,,,,,,KITCHEN ＆ CAFE-BAR SHINKER,〒183-0006 東京都府中市緑町1-17-18 シャトーアルフィー1F,公式・主要掲載に営業時間なし（要電話確認）,不定休あり（楽天ぐるなび）,不明,ユーザーメモ:テラス席ワンコOK。店舗公式にペット可の明記は未確認,なし,不明,,,,,https://r.gnavi.co.jp/by13f19y0000/,専用公式サイトは未発見。042-306-9105,,researched
25,coffee and bake douceur,〒183-0045 東京都府中市美好町３丁目１２−５８ Ｋ１５１Ａビル,https://www.google.com/maps/place/coffee+and+bake+douceur/data=!4m2!3m1!1s0x6018e48b5cdf5b39:0xe640961cb734faf7,店内ワンコ🆗、人気店で入店待ちで長時間並ぶ場合あり。予約不可。時間に余裕のあるときの利用を推奨。混雑すると店外待ちもあるので夏場にワンコ連れていくのは注意。,,,,,,,,,,,,,coffee and bake douceur,〒183-0045 東京都府中市美好町3-12-58 K151Aビル1F,月・水～日 12:00～19:00（楽天ぐるなび）,火曜（楽天ぐるなび）,不明,店内同伴可の記載は第三者サイトあり。楽天ぐるなびはペット未記載（要確認）,なし,現金のみ等は第三者掲載。予約不可はユーザーメモ,,,,https://www.instagram.com/coffeeandbakedouceur/,https://r.gnavi.co.jp/pc50ugur0000/|https://www.gurutto-tokyo.com/gourmet/coffeeandbakedouceur/|https://www.life.one-me.jp/shop/1203,独立公式HPは未確認。Instagramの有効性は要確認,,researched
26,府中テラス,〒183-0022 東京都府中市宮西町２丁目2−１２,https://www.google.com/maps/place/%E5%BA%9C%E4%B8%AD%E3%83%86%E3%83%A9%E3%82%B9/data=!4m2!3m1!1s0x6018e59679eac52b:0xd7f84cfb667da5aa,テラス席ワンコ🆗、日除け・風除けあり、日除けがあるので多少の雨なら影響なし。冷房器具および暖房器具の有無は不明。,fuchu-07,BASE S CAFE & DINER FUCHU TERRACE (府中テラス),manual,東京都府中市宮西町2-2-12,"大國魂神社のすぐ目の前にある、開放的なお洒落カフェ＆ダイナー。
けやき並木を眺めながら心地よい時間を過ごせます。",11:00〜22:00,無休,なし（近隣コインパーキング利用）,テラス席のみ,なし,,テラス席は日除け・風除けがあり、多少の雨なら影響なく過ごせます。,府中けやきテラス（Fuchu Keyaki Terrace）,〒183-0022 東京都府中市宮西町2-2-12,11:00～22:00（L.O.21:30）（店舗公式）,年末年始、その他原則なし（店舗公式）,なし（店舗公式「駐車場なし」）,テラス席はペット同伴可（店舗公式明記）,愛犬向け手づくりおやつ「まりあのお菓子」を店頭販売（店舗公式トップ記載）,店内・テラス全面禁煙。敷地隣に市営喫煙所（店舗公式）,,,https://fuchuterrace.2fc-bases.jp/,https://www.instagram.com/base.s_fuchuterrace/,,「府中テラス」は同一住所のけやきテラスと判断,,researched
27,だがや,〒183-0027 東京都府中市本町２丁目１９−５ オルジュ本町２,https://www.google.com/maps/place/%E3%81%A0%E3%81%8C%E3%82%84/data=!4m2!3m1!1s0x6018e4ef69be353f:0x8efbc2466dfc3b53,"暖季に外席を出すときがありワンコ🆗です。
日除け・雨除け・風除けいずれもなし。",,,,,,,,,,,,,だがや,〒183-0027 東京都府中市本町2-19-5 オルジュ本町2 1F,月～金 17:00～24:00、土日祝 12:00～24:00（ヒトサラ）,掲載なし（要確認）,不明,ユーザーメモ:暖季に外席時ワンコOK。掲載で未確認,なし,不明,,,,,https://hitosara.com/0031117449/,寿司店。公式HP未確認,,researched
